维度,1级加权(1分-潜意识),2级加权(3分-明显),3级加权(5分-极端)
同理心与善意,"谢谢,辛苦,抱歉,关心,问候,加油,理解,尊重,支持,平安","帮助,感同身受,善良,温柔,照顾,体谅,包容,治愈,宽容,暖心","牺牲,慈悲,救赎,大爱,虔诚,无私,奉献,怜悯,普渡,至善"
理性与逻辑感,"因为,所以,逻辑,观点,理由,思考,判断,结论,事实,步骤","证据,分析,数据,推导,客观,逻辑性,因果,严谨,模型,验证","绝对理性,严丝合缝,闭环,定律,真理,推演,公式化,绝对值,归因,逻辑锁"
好奇心与探索欲,"为什么,探索,有趣,新鲜,尝试,想知道,观察,发现,奇妙,关注","创新,挑战,跨界,未知,灵感,突破,求知,实验,奥秘,前沿","狂热,痴迷,极客,进化,降维打击,终极,真理,颠覆,永无止境,突破天际"
物质主义倾向,"买,价格,质量,实用,购物,打折,性价比,日常,需要,挑选","品牌,保值,奢华,资产,暴富,档次,溢价,投资,身价,名利","拜金,唯利是图,敛财,豪宅,挥金如土,暴利,贪婪,金钱至上,收割,暴发户"
社交退缩/孤僻度,"独处,安静,独行,默默,片刻,简单,个人,空间,休息,低调","社恐,逃离,躲避,孤独,沉思,疏离,防备,独享,旁观,透明","自闭,隔绝,绝缘,消失,尘封,死寂,厌世,封闭,断绝,深渊"
意志力与坚毅度,"坚持,努力,继续,计划,改变,完成,习惯,尝试,稳定,打卡","突破,韧性,克服,自律,挑战,奋斗,磨练,意志,拼搏,恒心","铁血,摧枯拉朽,坚如磐石,不朽,逆天改命,狂飙,背水一战,悍不畏死,信仰,至死不渝"
自信与自傲,"还可以,谦虚,进步,学习,尝试,请教,普通,努力,稍微,感觉","擅长,自信,优秀,实力,专家,资深,领先,掌控,能力,胜任","完美,无敌,顶峰,天才,至高无上,封神,审判,造物主,傲慢,不朽"
风险偏好,"稳妥,观察,规避,保守,安全,底线,预防,保险,程序,谨慎","机会,冒险,挑战,杠杆,博弈,尝试,勇气,突破,收益,变数","梭哈,孤注一掷,豪赌,亡命,博命,赌命,疯狂,极限,血本,逆天改命"
传统与反叛,"规矩,习惯,听话,传统,稳定,制度,尊重,长辈,顺从,守旧","独立,反思,质疑,独特,非主流,改变,自我,挑战,异议,革新","颠覆,摧毁,革命,异端,粉碎,枷锁,屠龙,审判,重塑,决裂"
乐观与悲观感,"希望,明天,阳光,期待,快乐,值得,温暖,向阳,治愈,未来","困难,叹气,遗憾,无奈,疲惫,迷茫,低落,压抑,无力,感伤","虚无,腐朽,恶臭,坟墓,诅咒,绝望,灰暗,终结,报应,死寂"
享乐与自律,"舒服,放松,奖励,休息,偶尔,零食,游戏,好玩,随性,慵懒","纵欲,狂欢,刺激,沉溺,欲望,消费,快感,上瘾,放纵,挥霍","糜烂,沉沦,极乐,荒淫,酒池肉林,腐烂,透支,死在当下,狂乱,堕落"